Table Football,Sports,Four Door Lemon,Sony Computer Entertainment,"Feb 22, 2012","Mar 8, 2012","Jun 28, 2012",No,[3]
Table Ice Hockey,Sports,Four Door Lemon,Sony Computer Entertainment,"Sep 25, 2012","Sep 26, 2012","May 9, 2013",No,[4]
Table Mini Golf,Sports,Four Door Lemon,Sony Computer Entertainment,"Apr 9, 2013","Apr 10, 2013",Unreleased,No,[5]
Table Top Racing,Racing,Playrise Digital,Ripstone,"Aug 5, 2014","Aug 6, 2014",Unreleased,Yes,[6]
Table Top Tanks,Shooter,Studio Liverpool,Sony Computer Entertainment,"May 22, 2012","May 23, 2012","Jul 31, 2012",No,[7]
Tachyon Project,Shooter,Eclipse Games,Eclipse Games (NA/EU)Cosen (JP),"Mar 29, 2016","Mar 29, 2016","Aug 23, 2017",No,[8]
Taco Master,Cooking,Kaxan Games,Kaxan Games,"Dec 8, 2015",Unreleased,Unreleased,No,[9]
Tadeo Jones,Platform,U-Play Studios,Deep Silver,Unreleased,"Dec 4, 2013",Unreleased,No,[10]
Tadeo Jones Y El Manuscrito Perdido,Platform,U-Play Studios,Deep Silver,Unreleased,"Nov 28, 2014",Unreleased,No,[11]
"Taiheiyō no Arashi: Kōkoku no Kōhai Koko ni Ari, 1942 Senkan Yamato Hankō no Gōjū",Turn-based strategy,SystemSoft Alpha,SystemSoft Alpha,Unreleased,Unreleased,"Dec 22, 2016",Yes,[12]
Taiheiyō no Arashi: Shijōsaidai no Gekisen Normandy Kōbō-sen!,Turn-based strategy,SystemSoft Alpha,SystemSoft Alpha,Unreleased,Unreleased,"Nov 9, 2017",Yes,[13]
Taiko no Tatsujin V Version,Rhythm,Bandai Namco Entertainment,Bandai Namco Entertainment,Unreleased,Unreleased,"Jul 9, 2015",No,[14]
Taishō Mebiusline Vitable,Visual novel,LoveDelivery,Dramatic Create,Unreleased,Unreleased,"Jan 28, 2016",Yes,[15]
Taishō Mebiusline Teito Bibouroku Hare,Visual novel,LoveDelivery,Dramatic Create,Unreleased,Unreleased,"Aug 24, 2017",Yes,[16]
Taishō x Alice: All in One,Otome game,Primula,Prototype,Unreleased,Unreleased,"Jun 2, 2016",Yes,[17]
Taishō x Alice: Heads & Tails,Otome game,Primula,Prototype,Unreleased,Unreleased,"Dec 7, 2017",Yes,[18]
Tales from Space: Mutant Blobs Attack,Platform,DrinkBox Studios,DrinkBox Studios,"Feb 21, 2012","Feb 22, 2012",Unreleased,No,[19]
Tales of Hearts R,Action role-playing,"7th Chord, Bandai Namco Studios",Bandai Namco Games,"Nov 11, 2014","Nov 14, 2014","Mar 7, 2013",Europe/North America only,[20]
Tales of Innocence R,Action role-playing,7th Chord,Bandai Namco Games,Unreleased,Unreleased,"Jan 26, 2012",Yes,[21]
Talisman: Digital Edition,Board game,"Nomad Games, BlitWorks",Nomad Games,"Mar 7, 2017","Mar 7, 2017",Unreleased,Yes,[22]
Tearaway,Platform,Media Molecule,Sony Computer Entertainment,"Nov 22, 2013","Nov 22, 2013","Dec 5, 2013",No,[23]
Teikoku Kaigun Koi Bojō: Meiji Yokosuka Kōshinkyoku,Otome game,HuneX,D3 Publisher,Unreleased,Unreleased,"Sep 25, 2015",Yes,[24]
Teikoku Kaleido: Kakumei no Rondo,Otome game,Opera House,Dramatic Create,Unreleased,Unreleased,"Sep 21, 2017",Yes,[25]
"Tengai ni Mau, Iki na Hana",Otome game,Otomate,Idea Factory,Unreleased,Unreleased,"Apr 26, 2018",Yes,[26]
Tennis in the Face,Action,10tons,10tons,"Mar 17, 2015","Mar 18, 2015",Unreleased,Yes,[27]
Tenshitsuki no Shōjo,Visual novel,Nail,Daidai,Unreleased,Unreleased,"Dec 20, 2012",Yes,[28]
Terraria,"Action sidescroller, sandbox","Re-Logic, Engine Software",505 Games (NA/EU)Spike Chunsoft (JP),"Dec 17, 2013","Dec 4, 2013","Feb 6, 2014",No,[29]
Teslagrad,Puzzle-platform,Rain Games,Rain Games (NA/EU)Square Enix (JP),"Nov 24, 2015","Nov 27, 2015","Apr 28, 2016",No,[30]
Tetra's Escape,Puzzle,"ABX Game Studio, Ratalaika Games",Ratalaika Games,"Aug 8, 2018","Aug 8, 2018",Unreleased,No,[31]
Tetris Ultimate,Puzzle,SoMa Play,Ubisoft,"Jun 2, 2015","Jun 4, 2015",Unreleased,No,[32]
