Barbie: Ocean Discovery•Barbie: Meeres Abenteur DE•Barbie: Chasse au Trésor Sous-Marine FR•Barbie: Avventure Nell'oceano ITA•Barbie: Diepzee Avontuur NL•Barbie: Aventura Submarina SPA,Yes,—,Realtime Associates,Mattel Interactive,"May 1, 1999 (NA/EU)",,,,No
Barbie: Pet Rescue•Barbie: Pet Patrol EU,No,—,HotGen,Vivendi Universal Interactive Publishing,"August 15, 2001 (NA)December 14, 2001 (EU)",,,,No
Barcode Taisen Bardigun,Yes,—,Graphic Research,Tamsoft,"December 11, 1999 (JP)",,,,No
Bass Masters Classic,Yes,—,Natsume,THQ,"November 4, 1999 (NA)December 31, 1999 (EU)",,,,No
Batman: Chaos in Gotham,No,—,Digital Eclipse,Ubi Soft,"April 16, 2001 (NA)2001 (EU)",,,,No
Batman Beyond: Return of the Joker•Batman of the Future: Return of the Joker EU,No,—,Kemco,Ubi Soft,"November 20, 2000 (NA)December 8, 2000 (EU)",,,,No
Battleship,Yes,—,Pack-In-Video,Majesco,"January 1, 1999 (NA, EU)",,,,No
BattleTanx,No,—,Lucky Chicken Games,3DO,"March 1, 2000 (NA/EU)",,,,No
Beatmania GB,Yes,—,Konami,Konami,"March 11, 1999 (JP)",,,,No
Beatmania GB2: GotchaMix,Yes,—,Konami,Konami,"November 25, 1999 (JP)",,,,No
Beatmania GB: GotchaMix 2,No,—,Konami,Konami,"September 28, 2000 (JP)",,,,No
Benjamin Blümchen: Ein Verrückter Tag im Zoo,No,—,BVM Produktion,Kiddinx,"November 6, 2001 (EU)",,,,No
Beyblade: Fighting Tournament,No,—,Hudson Soft,Hudson Soft,"August 11, 2000 (JP)",,,,No
Bibi Blocksberg: Im Bann Der Hexenkugel,No,—,BVM Produktion,Kiddinx,"November 6, 2001 (EU)",,,,No
"Bibi und Tina: Fohlen ""Felix"" in Gefahr",No,—,BVM Produktion,Kiddinx,"August 28, 2002 (EU)",,,,No
Bikkuriman 2000: Charging Card GB,Yes,—,Imagineer,Imagineer,"June 10, 2000 (JP)",,,,No
Billy Bob's Huntin'-N-Fishin',No,—,Saffire,Midway,"November 17, 1999 (NA, EU)",,,,No
Bionic Commando: Elite Forces,No,—,Nintendo Software Technology,Nintendo,"January 24, 2000 (NA, EU)",,,,Yes
Black Bass: Lure Fishing,Yes,—,Hot-B,Majesco,"September 1, 1999 (NA/EU)",,,,No
The Black Onyx,No,—,Atelier Double,Taito,"March 2, 1999 (JP)",,,,No
Blade,No,—,HAL Laboratory,Activision,"November 20, 2000 (NA)December 8, 2000 (EU)",,,,No
Blaster Master: Enemy Below•Meta Fight EX JP,Yes,—,Sunsoft,Sunsoft,"February 24, 2000 (JP)September 24, 2000 (NA)October 27, 2000 (EU)",,,,Yes
Blue's Clues: Blue's Alphabet Book,No,—,Vicarious Visions,Mattel Interactive,"January 30, 2001 (NA)",,,,No
Boarder Zone•Supreme Snowboarding EU,No,—,Software Creations,Infogrames,"December 1, 1999 (NA/EU)",,,,No
Bob et Bobette: Les Dompteurs du Temps FR •Suske en Wiske: De Tijdtemmers BE,No,—,Engine Software,Witan Entertainment,"January 1, 2001 (EU)",,,,No
Bob the Builder: Fix It Fun!,No,—,Tiertex,BBC Multimedia EUTHQ NA,"September 1, 2001 (NA)November 10, 2000 (EU)",,,,No
Boku no Camp Jou,No,—,D-1000 Project,Naxat Soft,"September 22, 2000 (JP)",,,,No
Bomberman Max: Blue Champion•Bomberman Max: Hikari no Yuusha JP,No,—,Hudson Soft,Vatical EntertainmentHudson Soft JP,"December 17, 1999 (JP)May 14, 2000 (NA)",,,,No
Bomberman Max: Red Challenger•Bomberman Max: Yami no Senshi JP,No,—,Hudson Soft,Vatical EntertainmentHudson Soft JP,"December 17, 1999 (JP)May 14, 2000 (NA)",,,,No
Bomberman Quest,Yes,—,Hudson Soft,Electro BrainHudson Soft JPVirgin Interactive EU,"December 24, 1998 (JP)November 1999 (NA)May 1999 (EU)",,,,No
Bomberman Selection,No,—,Hudson Soft,Jupiter Corp.,"April 30, 2003 (KOR)",,,,No
Bouken! Dondoko Shima,No,—,D-1000 Project,Global A Entertainment,"April 18, 2002 (JP)",,,,No
Brave Saga Shinshou Astaria,No,—,Takara,Takara,"January 26, 2001 (JP)",,,,No
Buffy the Vampire Slayer,No,—,Game Brains,THQ,"September 25, 2000 (NA)November 10, 2000 (EU)",,,,No
Bugs Bunny: Crazy Castle 3,Yes,—,Kemco,NintendoKemco JP,"January 29, 1999 (JP, NA, EU)",,,,No
Bugs Bunny in Crazy Castle 4•Bugs Bunny et le Cháteau des Catastrophes FR,No,—,Kemco,Kemco,"April 21, 2000 (JP)July 3, 2000 (NA, EU)",,,,No
Burger Burger Pocket: Hamburger Simulation,Yes,—,Biox,Gaps Inc.,"March 26, 1999 (JP)",,,,No
Burger Paradise International,No,—,Biox,Gaps Inc.,"April 21, 2000 (JP)",,,,No
Bust-A-Move 4•Puzzle Bobble 4 JP,Yes,—,Crawfish Interactive,Club AcclaimAltron JP,"April 28, 2000 (JP)June 1999 (NA, EU)",,,,No
Bust-A-Move Millennium•Puzzle Bobble Millennium JP,No,—,"Dreams Co., Ltd.",Club AcclaimAltron JP,"December 22, 2000 (JP)October 27, 2000 (NA)November 17, 2000 (EU)",,,,No
Caesars Palace II,No,—,RuneCraft Ltd.,Interplay Entertainment,"July 1, 1999 (NA/EU)",,,,No
Cannon Fodder,No,—,Codemasters,Codemasters,"December 5, 2000 (NA)November 24, 2000 (EU)",,,,No
Cardcaptor Sakura: Itsumo Sakura-chan to Issho!,Yes,—,M²TO,M²TO,"May 15, 1999 (JP)",,,,No
Cardcaptor Sakura: Tomoeda Shougakkou Daiundoukai,No,—,M²TO,M²TO,"October 6, 2000 (JP)",,,,No
Card Hero: Trading & Battle,Yes,—,Intelligent Systems,Nintendo,"February 21, 2000 (JP)",,,,No
Carl Lewis Athletics 2000,No,—,Planet Interactive,Ubisoft,"September 15, 2000 (EU)",,,,No
Carmageddon,No,—,Aqua Pacific,Titus Software NASales Curve Interactive EU,"April 1, 2000 (NA/EU)",,,,No
Casper,No,—,G3 Interactive,Interplay Entertainment,"May 1, 2000 (NA)",,,,No
Catwoman,No,—,Kemco,Kemco,"December 1, 1999 (NA) January 1, 2000 (EU)",,,,No
Catz,No,—,Saffire,Mindscape,"December 1, 1999 (NA/EU)",,,,No
Centipede,Yes,—,Accolade,Majesco,"November 30, 1998 (NA)1998 (EU)",,,,No
Championship Motocross 2001 Featuring Ricky Carmichael,No,—,Tiertex,THQ,"October 5, 2000 (NA)",,,,No
Chase H.Q.: Secret Police•Taito Memorial: Chase H.Q. JP,Yes,—,"Dreams Co., Ltd.",Metro3D NAGaga Communications Inc. EUJorudan JP,"May 26, 2000 (JP)May 30, 2000 (NA)August 1999 (EU)",,,,No
Checkmate,Yes,—,Altron,Altron,"April 16, 1999 (JP)",,,,No
Chee-Chai Alien,No,Rumble Pak,"Creatures, Inc.","Creatures, Inc.","February 27, 2001 (JP)",,,,No
Chessmaster,Yes,—,Park Place Productions,Mindscape,"November 15, 1999 (NA, EU)",,,,No
Chi to Ase to Namida no Koukou Yakyuu,No,—,J-Wing,J-Wing,"November 3, 1999 (JP)",,,,No
Chibi Maruko-chan: Go Chounai Minna de Game Da Yo!,No,—,Epoch,Epoch,"August 10, 2001 (JP)",,,,No
Chicken Run,No,—,Blitz Games,THQ,"November 3, 2000 (NA)November 24, 2000 (EU)",,,,No
Choro Q Hyper GB,No,—,Electronics Application,Takara,"July 30, 1999 (JP)",,,,No
Chou Gals! Kotobuki Ran,No,—,Konami,Konami,"July 26, 2001 (JP)",,,,No
Chou Gals! Kotobuki Ran 2: Miracle Getting,No,—,Konami,Konami,"February 7, 2002 (JP)",,,,No
Classic Bubble Bobble•Taito Memorial: Bubble Bobble JP,Yes,—,"Dreams Co., Ltd.",Metro3D NAGaga Communications Inc. EUJorudan JP,"May 26, 2000 (JP)October 1999 (NA, EU)",,,,No
Colin McRae Rally,No,—,Spellbound Interactive,THQ,"January 1, 2001 (EU)",,,,No
Columns GB: Tezuka Ozamu Characters,Yes,—,Game Studio,Media Factory,"November 5, 1999 (JP)",,,,No
Command Master,No,Tilt sensor,Brain Dock,Enix,"November 22, 2000 (JP)",,,,No
Commander Keen,No,—,David A. Palmer Productions,Activision,"May 30, 2001 (NA)June 15, 2001 (EU)",,,,No
Conker's Pocket Tales,Yes,—,Rare,Rare,"June 8, 1999 (NA)1999 (EU)",,,,No
Cool Bricks,No,—,Freestylez,Sales Curve Interactive,"December 1, 1999 (EU)",,,,No
Croc,No,—,Virtucraft,THQ,"June 6, 2000 (NA)December 1, 2000 (EU)",,,,No
Croc 2,No,—,Natsume,THQ,"January 25, 2001 (NA)February 2, 2001 (EU)",,,,No
Cross Hunter: Monster Hunter Version,No,—,Game Village,Game Village,"April 12, 2001 (JP)",,,,No
Cross Hunter: Treasure Hunter Version,No,—,Game Village,Game Village,"April 12, 2001 (JP)",,,,No
Cross Hunter: X Hunter Version,No,—,Game Village,Game Village,"April 12, 2001 (JP)",,,,No
Cruis'n Exotica,No,—,Crawfish Interactive,Midway,"November 6, 2000 (NA)",,,,No
Crystalis,No,—,Nintendo Software Technology,Nintendo,"June 26, 2000 (NA)",,,,No
Cubix: Robots for Everyone - Race 'N Robots,No,—,Blitz Games,The 3DO Company,"November 13, 2001 (US)",,,,No
CyberTiger,No,—,Xantera,Electronic Arts,"January 1, 2000 (NA)November 10, 2000 (EU)",,,,No
Cyborg Kuro-chan: Devil Fukkatsu!!,No,—,Konami,Konami,"March 23, 2000 (JP)",,,,No
Cyborg Kuro-chan 2: White Woods no Gyakushuu,No,—,Konami,Konami,"October 19, 2000 (JP)",,,,No
Daa! Daa! Daa! Totsuzen ★ Card de Battle de Uranai!?,No,—,Video System,Video System,"December 8, 2000 (JP)",,,,No
Daffy Duck: Fowl Play•Daffy Duck: Auf Schatzsuche DE•Daffy Duck: Subette Koronde Ookanemochi JP,Yes,—,Sunsoft,Sunsoft,"January 1, 2000 (JP)December 1999 (NA)2000 (EU)",,,,No
Daikaijuu Monogatari: The Miracle of the Zone II,Yes,—,Birthday,Hudson Soft,"March 19, 1999 (JP)",,,,No
Daiku no Gen-san: Kachikachi no Tonkachi ga Kachi,Yes,—,Biox,Gaps Inc.,"April 28, 2000 (JP)",,,,No
Dance Dance Revolution GB,No,—,KCET,Konami,"August 3, 2000 (JP)",,,,No
Dance Dance Revolution GB: Disney Mix,No,—,KCET,Konami,"March 29, 2001 (JP)",,,,No
Dance Dance Revolution GB2,No,—,KCET,Konami,"November 16, 2000 (JP)",,,,No
Dance Dance Revolution GB3,No,—,KCET,Konami,"March 15, 2001 (JP)",,,,No
Dancing Furby,Yes,—,TOSE,Tomy Corporation,"December 24, 1999 (JP)",,,,No
Das Geheimnis der Happy Hippo-Insel,No,—,Kritzelkratz 3000,JoWooD Productions,"May 17, 2001 (DE)",,,,No
Data-Navi Pro Yakyuu,No,—,Now Production,Nowpro,"July 21, 2000 (JP)",,,,No
Data-Navi Pro Yakyuu 2,No,—,Now Production,Nowpro,"July 13, 2001 (JP)",,,,No
Dave Mirra Freestyle BMX,No,—,Neon Studios,Acclaim Max Sports,"November 9, 2000 (NA)December 8, 2000 (EU)",,,,No
David Beckham Soccer,No,—,Yoyo Entertainment,Rage Software,"February 8, 2002 (EU)",,,,No
David O'Leary's Total Soccer 2000,No,—,Exient Entertainment,Ubi Soft,"January 1, 2000 (EU)",,,,No
Dear Daniel no Sweet Adventure: Kitty-chan o Sagashite,Yes,—,TOSE,Imagineer,"July 19, 2000 (JP)",,,,No
Deer Hunter,No,—,Morning Star Multimedia,Vatical Entertainment,"December 22, 1999 (NA)",,,,No
Déjà Vu I&II: The Casebooks of Ace Harding •Deja Vu I&IIJP,No,—,Infinite Ventures,Vatical Entertainment NAKemco JP,"October 15, 1999 (JP)December 1999 (NA)",,,,No
Dejiko no Mahjong Party,No,—,Broccoli,King Records,"December 8, 2000 (JP)",,,,No
Denki Blocks,No,—,Denki,Rage Software,"September 1, 2001 (EU)",,,,No
Densha de Go!,No,—,Taito,CyberFront,"December 10, 1999 (JP)",,,,No
Densha de Go! 2,No,—,Taito,CyberFront,"December 8, 2000 (JP)",,,,No
Dexter's Laboratory: Robot Rampage,No,—,Altron,BAM! Entertainment,"November 23, 2000 (NA)",,,,No
Die Maus,No,—,Bit Managers,Infogrames,"January 1, 1999 (EU)",,,,No
Die Maus: Verrueckte Olympiade,No,—,Neon Studios,Infogrames,"September 26, 2001 (DE)",,,,No
Die Original Moorhuhn Jagd,No,—,Nival Interactive,Ravensburger Interactive Media,"January 1, 2000 (EU)",,,,No
Dino Breeder 3: Gaia Fukkatsu,Yes,—,J-Wing,J-Wing,"April 28, 1999 (JP)",,,,No
Dino Breeder 4,Yes,—,J-Wing,J-Wing,"April 28, 2000 (JP)",,,,No
Dinosaur'us,No,—,RFX Interactive,Electronic Arts,"February 2, 2001 (EU)",,,,No
Disney's 102 Dalmatians: Puppies to the Rescue•102 Dalmatiner DE•Les 102 Dalmatiens: à la Rescousse FR•102 Dalmatas: Cachorros Al Rescate SPA,No,—,Crystal Dynamics,Activision,"December 6, 2000 (NA)December 8, 2000 (EU)",,,,No
Disney's Aladdin,No,—,Crawfish Interactive,Ubi Soft,"November 7, 2000 (NA)November 20, 2000 (EU)",,,,No
Disney's Atlantis: The Lost Empire,No,—,Eurocom,THQ,"June 14, 2001 (NA, EU)",,,,No
Disney's Beauty and the Beast: A Board Game Adventure,Yes,—,Left Field Productions,Nintendo,"October 25, 1999 (NA)December 1999 (EU)",,,,No
Disney's Donald Duck: Goin' Quackers•Donald Duck: Quack Attack EU•Donald Duck: Daisy o Tsukue! JP,No,—,Ubi Soft Milan,Ubisoft,"December 1, 2000 (JP)October 19, 2000 (NA)October 20, 2000 (EU)",,,,No
Disney's Doug: Doug's Big Game•Doug: La Grande Aventure FR,No,—,Magellan Interactive,NewKidCo NAUbi Soft EU,"December 15, 2000 (NA)April 6, 2001 (EU)",,,,No
Disney's Pooh and Tigger's Hunny Safari,No,—,Digital Eclipse,Electronic Arts NAUbi Soft EU,"December 1, 2001 (NA)February 1, 2002 (EU)",,,,No
Disney's Tarzan,No,—,Digital Eclipse,Activision NA/EUSyscom JP,"March 24, 2000 (JP)June 24, 1999 (NA, EU)",,,,No
Disney's The Emperor's New Groove,No,—,Sandbox Interactive,Ubisoft,"December 1, 2000 (NA)March 16, 2001 (EU)",,,,No
Disney's The Lion King: Simba's Mighty Adventure•Der Koenig der Loewen: Simbas grosses Abenteuer DE•Les Roi Lion: Les Adventures de Simba FR,No,—,Torus Games,Activision,"December 1, 2000 (NA)March 9, 2001 (EU)",,,,No
Disney's The Little Mermaid II: Pinball Frenzy,No,Rumble Pak,Left Field Productions,Nintendo,"September 24, 2000 (NA)March 16, 2001 (EU)",,,,No
Disney/Pixar A Bug's Life,Yes,—,Tiertex,THQ NAActivision EU,"December 1, 1998 (NA) January 1, 1999 (EU)",,,,No
Disney/Pixar Buzz Lightyear of Star Command•Les Aventures de Buzz L'Éclair FR•Captain Buzz Lightyear: Star Command DE,No,—,Traveller's Tales,Activision,"November 7, 2000 (NA)February 16, 2001 (EU)",,,,No
"Disney/Pixar Monsters, Inc.•Die Monster AG DE",No,—,Vicarious Visions,THQ,"October 19, 2001 (NA)February 1, 2002 (EU)",,,,No
Disney/Pixar Toy Story 2,Yes,—,Tiertex,THQ NAActivision EU,"November 1, 1999 (NA) March 1, 2000 (EU)",,,,No
Disney/Pixar Toy Story Racer,No,—,Tiertex,Activision,"February 28, 2001 (NA)March 9, 2001 (EU)",,,,No
Diva Starz: Mall Mania,No,—,Digital Eclipse,Vivendi Universal Interactive Publishing,"December 3, 2001 (NA)",,,,No
Dogz,No,—,Saffire,Mindscape,"December 1, 1999 (NA) January 1, 2000 (EU)",,,,No
Dokapon?! Millennium Quest,Yes,—,Asmik Ace,Asmik Ace,"July 14, 2000 (JP)",,,,No
Doki Doki Densetsu: Mahoujin Guruguru,No,—,Tamtam,Enix,"November 17, 2000 (JP)",,,,No
Doki Doki Sasete!!,No,—,Victor Interactive Software,Victor Interactive Software,"October 26, 2001 (JP)",,,,No
Donkey Kong Country•Donkey Kong 2001 JP,No,—,Rare,Nintendo,"January 21, 2001 (JP)November 4, 2000 (NA)November 17, 2000 (EU)",,,,No
Donkey Kong GB: Dinky Kong & Dixie Kong,No,—,Rare,Nintendo,"January 28, 2000 (JP)",,,,No
Doraemon: Aruke Aruke Labyrinth,Yes,—,Epoch,Epoch,"July 23, 1999 (JP)",,,,No
Doraemon: Kimi to Pet no Monogatari,Yes,—,Epoch,Epoch,"March 16, 2001 (JP)",,,,No
Doraemon Kart 2,Yes,—,Epoch,Epoch,"March 12, 1999 (JP)",,,,No
Doraemon Memories: Nobita no Omoide Daibouken,Yes,—,Epoch,Epoch,"March 10, 2000 (JP)",,,,No
Doraemon no Quiz Boy,No,—,Shogakukan,Shogakukan,"April 28, 2000 (JP)",,,,No
Doraemon no Quiz Boy 2,No,—,Shogakukan,Shogakukan,"October 4, 2002 (JP)",,,,No
Doraemon no Study Boy: Gakushuu Kanji Game,No,—,Shogakukan,Shogakukan,"January 12, 2001 (JP)",,,,No
Doraemon no Study Boy: Kanji Yomikaki Master,No,—,Shogakukan,Shogakukan,"July 18, 2003 (JP)",,,,No
Doraemon no Study Boy: Kuku Game,No,—,Shogakukan,Shogakukan,"December 20, 2000 (JP)",,,,No
Dr. Rin ni Kiitemite!: Koi no Rin Fuusui,No,—,Will,Hudson Soft,"February 21, 2002 (JP)",,,,No
Dracula: Crazy Vampire,No,—,Planet Interactive,DreamCatcher Interactive NACryo Interactive EU,"October 9, 2001 (NA, EU)",,,,No
Dragon Ball Z: Legendary Super Warriors•Dragon Ball Z: Legendäre Superkämpfer DE•Dragon Ball Z: Les Guerriers Legendaires FR•Dragon Ball Z: I Leggendari Super Guerrieri ITA•Dragon Ball Z: Densetsu no Chou Senshi-tachi JP•Dragon Ball Z: Guerreros de Leyenda SPA,No,—,Banpresto,Infogrames NA/EUBanpresto  JP,"August 9, 2002 (JP)November 8, 2002 (NA)June 30, 2002 (EU)",,,,No
Dragon Dance•Pocket Color Block JP,Yes,—,Natsume,Crave Entertainment NA/EUBottom Up JP,"December 18, 1998 (JP)August 2000 (NA)September 30, 2000 (EU)",,,,No
Dragon Tales: Dragon Adventures,No,—,Handheld Games,NewKidCo,"November 15, 2001 (NA)",,,,No
Dragon Tales: Dragon Wings,No,—,Zed Two Limited,NewKidCo NAUbi Soft EU,"December 16, 2000 (NA, EU)",,,,No
Dragon Warrior I & II•Dragon Quest I & II JP,Yes,—,TOSE,Enix,"September 23, 1999 (JP)September 27, 2000 (NA)",,,,No
Dragon Warrior III•Dragon Quest III JP,No,—,TOSE,Enix,"December 8, 2000 (JP)July 7, 2001 (NA)",,,,No
Dragon Warrior Monsters•Dragon Quest Monsters: Terry no Wonderland JP,Yes,—,TOSE,Eidos Interactive NA/EUEnix JP,"September 25, 1998 (JP)January 25, 2000 (NA)January 2000 (EU)",,,,No
Dragon Warrior Monsters 2: Cobi's Journey•Dragon Quest Monsters 2: Malta no Fushigina Kagi - Ruka no Tabidachi JP,Yes,—,TOSE,Enix,"March 9, 2001 (JP)September 15, 2001 (NA)",,,,No
Dragon Warrior Monsters 2: Tara's Adventure•Dragon Quest Monsters 2: Malta no Fushigina Kagi - Iru no Bouken JP,Yes,—,TOSE,Enix,"March 9, 2001 (JP)September 15, 2001 (NA)",,,,No
Dragon's Lair,No,—,Digital Eclipse,Capcom,"January 15, 2001 (NA)August 24, 2001 (EU)",,,,No
Driver: You Are the Wheelman •Driver EU,No,—,Crawfish Interactive,Infogrames,"April 1, 2000 (NA)January 1, 2001 (EU)",,,,No
Dropzone,Yes,—,Awesome Developments,Acclaim Entertainment,"January 1, 1999 (EU)",,,,No
DT: Lords of Genomes,Yes,—,Game Studio,Media Factory,"May 25, 2001 (JP)",,,,No
Duke Nukem,No,—,Torus Games,GT Interactive,"September 10, 1999 (NA, EU)",,,,No
The Dukes of Hazzard: Racing for Home •The Dukes of Hazzard EU,No,—,Spellbound Interactive,SouthPeak Interactive NAUbi Soft EU,"November 7, 2000 (NA, EU)",,,,No
Dungeon Savior,Yes,—,J-Wing,J-Wing,"August 4, 2000 (JP)",,,,No
DX Jinsei Game,No,—,Takara,Takara,"April 27, 2001 (JP)",,,,No
DX Monopoly GB,Yes,—,Takara,Takara,"April 21, 2000 (JP)",,,,No
E.T. The Extra-Terrestrial and the Cosmic Garden,No,—,Zed Two Limited,NewKidCo,"March 15, 2002 (NA, EU)",,,,No
E.T. The Extra-Terrestrial: Digital Companion,No,—,Powerhead Games,NewKidCo,"October 18, 2001 (NA)March 29, 2002 (EU)",,,,No
E.T. The Extra-Terrestrial: Escape from Planet Earth•E.T. The Extra-Terrestrial: The 20th Anniversary EU,No,—,Saffire,NewKidCo NAUbi Soft EU,"November 4, 2001 (NA)2002 (EU)",,,,No
Earthworm Jim: Menace 2 the Galaxy,Yes,—,David A. Palmer Productions,Crave Entertainment,"November 16, 1999 (NA, EU)",,,,No
ECW Hardcore Revolution,No,—,Crawfish Interactive,Acclaim Entertainment,"February 1, 2000 (NA/EU)",,,,No
Elevator Action EX JP •Elevator Action EU,No,—,Altron,Taito JPTDK Mediactive EU,"September 29, 2000 (JP)2000 (EU)",,,,No
Elie no Atelier GB,Yes,—,TOSE,Imagineer,"January 8, 2000 (JP)",,,,No
